name,description
bagels,"Trendy NYC bar, chill vibes, diverse crowd, eclectic music, cozy ambiance."
Rowland's Bar & Grill,"Burgers, beer & other refreshments power this casual spot at the Herald Square department store."
Blarney Rock Pub,"Basic Irish pub with TV sports, pints of Guinness & mostly American bar food (also Irish breakfast)."
Pig n Whistle,"Lively pub with Irish charm, classic rock, diverse young professionals."
Féile,"Friendly atmosphere, sports bar vibe, diverse crowd, classic rock music."
Wolfgang's Steakhouse - Broadway NYC,"Upscale chophouse chain serving dry-aged steaks, seafood & wine in an elegant setting."
Bourbon and Branch,"Cozy speakeasy, classy ambiance, jazz tunes, sophisticated clientele, upscale cocktails."
The Celtic Rail NYC,"Lively Irish pub, cozy ambiance, eclectic music, diverse crowd, vibrant atmosphere."
Bar rooftop,"Rooftop NYC bar, trendy ambiance, skyline views, eclectic music, young professionals."
The Liberty NYC,"Craft cocktails & American fare in an elegant, multi-level space with Old New York-inspired decor."
Karaoke Duet 35,"Lively karaoke lounge with drinks, a variety of rooms & a long, frequently updated song list."
Reichenbach Hall,"Hearty German eats & fine beers are served in a casual, Bavarian publike setting."
BSTRO 38,A bar pours mojitos up front & a brick-lined dining room in the back serves traditional Cuban fare.
Frankie & Johnnie's Steakhouse,"Classic, upscale steakhouse; warm ambiance; jazz tunes; older, polished clientele."
Top of the Strand Rooftop Bar,"Intimate rooftop lounge at the Strand Hotel featuring dramatic views, cocktails & retractable roof."
Winnie's Jazz Bar,"Posh, wood-lined lobby bar inside the Refinery Hotel featuring classic cocktails & live jazz."
The Keg Room,"Airy eatery/bar offering a full menu of American & Irish fare, an extensive beer list & lots of TVs."
The Playwright Irish Pub,Dozens of TVs screening sports set the tone at this Irish pub/eatery near the Empire State Building.
Blaggards Pub,"This local haunt offers drinks, familiar Irish grub & American fare in a warm, low-key setup."
Monarch Rooftop,"Spacious penthouse cocktail bar with clubby decor, light fare, indoor/outdoor seating & urban views."
The Highlander Nyc,"Laid-back, dim-lit bar with rock music attracting diverse, youthful crowd."
Red Cafe,"Cozy lounge bar with chill music, vibrant crowd, and warm ambiance."
The Ragtrader & Bo Peep Cocktail and Highball Store,"Warmly lit, bi-level industrial venue featuring elevated American cuisine, craft cocktails, and wine."
Trademark Bar + Kitchen,"Retro joint in Hotel Le Soleil with a New American menu, creative cocktails, and a coffee bar."
TONCHIN NEW YORK,"Branch of a Tokyo-based chain specializing in tonkotsu ramen, griddled dishes, and fried chicken."
Calle Dao Bryant Park,Cuban-Chinese fare & intricate cocktails in a space with whitewashed walls & distressed wood.
Barn Joo 35,"Hip, contemporary Korean gastropub serving thoughtfully sourced small plates & soju cocktails."
SkyLawn Bar,"Large landscaped hotel space with open-air seating, hand-crafted cocktails & an American menu."
Rooftop Cinema Club Midtown,"Seasonal rooftop venue showcasing classic & cult films, individual headphones, snacks & city vistas."
Den Social Lounge,"Vibrant destination for cocktails, dancing & DJs, plus bar bites & private karaoke rooms."
Den Social Karaoke,"Energetic, modern venue; upbeat karaoke music; friendly crowd; lively, inclusive ambiance."
The Parlour Room,"Intimate, sophisticated atmosphere; chill vibes; smooth jazz music; diverse, upscale crowd."
Bo Peep Cocktail and Highball Store,"Intimate speakeasy, vintage charm, live jazz, mature crowd, exquisite cocktails."
"AKB, a hotel bar","Sophisticated, jazzy hotel bar; upscale crowd, lounge vibe, live music."
Spyglass Rooftop Bar,This luxe rooftop bar atop the Archer Hotel has Empire State Building views & craft cocktails.
Class,"Trendy NYC bar with chic, ambient vibes and lounge music."
Lot 15,"Cocktail bar in the Kixby hotel serving craft concoctions & bar bites in a dark, art-accented space."
Black Tap Craft Burgers & Beer - 35th St,"Lively bar, retro vibe, classic rock music, diverse crowd, award-winning burgers."
The Westbury,"Chic LGBT+ bar, lively beats, diverse crowd, energetic yet cozy atmosphere."
The Lookup,"Rooftop, stylish, relaxed vibe, diverse crowd, upbeat tunes."
Daintree,"Swanky hot spot serving craft cocktails & elevated small plates, plus a terrace with skyline views."
Isla & Co. - Midtown,"Chic, vibrant, indie-beats, upscale ambiance, diverse young professionals."
The Pleat Bar,"Chic, relaxed atmosphere, indie music, diverse crowd, creative cocktails, trendy."
Bar Harta,"Cozy ambiance, eclectic music, diverse crowd, artsy decor, vibrant vibe."
Harta & Bar Harta,"Cozy, chic vibe; trendy crowd; jazzy tunes enhance the intimate atmosphere."
Bar Cima,"Chic rooftop lounge; trendy vibe, electronic beats, young professional crowd."
Sapphire 39,"Upscale, energetic nightclub; vibrant atmosphere; top 40 music; young professionals."
Mulligan's Pub,"lively atmosphere, Irish vibe, classic rock, diverse crowd."
5th&Mad,"Lively NYC bar with upscale vibe, diverse crowd, and eclectic music."
Japas NY,"Lively karaoke place with private party rooms, Japanese fare including sushi & late hours."
The Flatiron Room Murray Hill,"Richly furnished setting for spirits, raw-bar items, live jazz, and classic American food."
O'Casey's,"Cozy Irish pub, lively atmosphere, traditional music, diverse crowd."
Raines Law Room at The William,Bespoke & craft cocktail bar with a chic retro library vibe within The William hotel.
The Shakespeare,"Tavernlike British gastropub serving craft beers, spirits & upscale pub grub in The William hotel."
Annie Moore's,Charming Irish pub & restaurant offering American grub plus a full bar and a rooftop courtyard.
Mad Dog & Beans Mexican Cantina,"Lively, vibrant cantina with Mexican tunes, diverse crowd, festive atmosphere."
The Madison Lounge,"Chic, sophisticated ambiance; modern tunes; upscale crowd; elegant cocktails; Manhattan gem."
MAD Bar and Lounge,"Chill atmosphere, trendy vibe, eclectic music, diverse crowd, stylish decor."
Serafina Italian Restaurant 38th Madison,"Lively, upscale Italian vibe, modern music, diverse patrons, elegant atmosphere."
Pershing Square,"Chic, bustling bar with jazz music, attracting professionals and tourists."
Park Avenue Tavern,Upscale bar on the edge of Murray Hill with a self-service tap system & hearty American eats.
Bookmarks,"Chic rooftop bar with city views, indie music, and young professionals."
United Restaurant & Tavern,"Lively, diverse crowd, retro tunes, cozy atmosphere with casual, eclectic decor."
La Brochette Steakhouse,"Upscale kosher steakhouse showcasing dry-aged beef, veal & sushi in an elegant, multifloor setting."
Tartinery Café - Bar | Park Ave,"Trendy, chic, diverse clientele, mellow ambience, relaxed vibes, eclectic music."
Agency of Record,"Sophisticated ambiance, eclectic music, diverse professionals, artistic décor, intimate gatherings."
Tartinery Café - Bar | Grand Central,"Stylish, relaxed vibe, French-inspired, ambient music, diverse patrons, Grand Central."
Soba Totto,"Kyoto-style handmade soba & yakitori, with seats at the bar to watch the pros work."
Bierhaus NYC,Costumed barmaids serve imported German beers & meaty eats to customers seated at communal tables.
New York Central,"Chic ambiance, energetic vibe, eclectic beats, diverse crowd, trendy drinks."
Le Botaniste,"Le Botaniste offers cozy, plant-filled ambiance with eclectic tunes attracting eco-conscious patrons."
Malone's Irish Bar & Restaurant,"Cozy, authentic Irish pub; lively atmosphere; classic rock; friendly, diverse crowd."
Albert’s Bar,"Cozy, retro vibe, eclectic music, diverse crowd, lively atmosphere."
Overlook,"Trendy NYC bar, energetic atmosphere, diverse crowd, eclectic music lineup."
Spanish Restaurant Tapas - Alcala,Spanish cuisine & sangria served in a laid-back setting with back-garden seating.
Keats Bar,Neighborhood bar with a late-night kitchen where locals head to croon karaoke or watch sports.
Ben & Jack's Steakhouse,"Elegant steakhouse ambiance, jazz music, refined, diverse clientele, sophisticated New York vibe."
Kaoru,"Intimate Japanese eatery specializing in sushi bowls, plus beer, wine, and sake."
Show Palace Gentlemen's Club NYC,"Energetic strip club, vibrant atmosphere, diverse clientele, pulsating music, upscale decor."
Station Lounge,"Cozy, chill atmosphere; eclectic crowd; jazzy tunes; perfect for unwinding."
Lost in Paradise Rooftop,"Vibrant rooftop bar, tropical décor, upbeat music, diverse young crowd."
Bar Enzo,"Trendy, vibrant, eclectic music, mixologist cocktails, diverse, young crowd."
The Greats of Craft LIC,"Lively craft beer bar, relaxed atmosphere, eclectic music, diverse crowd."
Focal Point Beer Co,"Energetic, lively; craft beers; indie music; diverse, young professionals."
First Stop Bar & Grill,"Relaxed neighborhood gathering spot for beer, classic cocktails & bar bites in a no-frills setting."
菠萝爹地的家,"Trendy bar with eclectic music; youthful, vibrant crowd; energetic atmosphere."
Finback LIC,"Chill brewery vibe, diverse crowd, indie music, craft beers, cozy ambiance."
The Mighty Crab (Queens),Dishes from around the world feature at this giant buffet restaurant.
Cervecería astoria,"Vibrant Atmosphere, Latin beats, diverse crowd, craft beers, cozy decor."
Bowlero Queens,"Long-standing chain of bowling alleys featuring casual grub & pitchers, leagues & party events."
BQE Billiards & Bar,"Vast bar featuring pool, ping pong, air hockey & foosball tables, plus an ample, diverse menu."
Legends Sports Bar,"Lively bar, sports-centric, upbeat music, diverse crowd, energetic sports aficionados."
Pool Bar,"Chill, vibrant atmosphere; eclectic tunes; youthful, diverse crowd; billiards-focused fun."
Wildflower,"Trendy, vibrant, eclectic music, energetic crowd, hip decor, mixed ages."
BOTTINO | modern italian dining | garden | events,Tuscan cooking & boutique wines served in a setting that includes a spacious year-round garden.
Molly Wee,"For decades, this corner bar near Penn Station has been drawing pints & plating simple pub fare."
American Whiskey - Midtown,Elegant version of a Southern bourbon & burger bar with clever small plates & an upstairs lounge.
The Lost & Found,"Cozy speakeasy vibe, eclectic music, mixed crowd, intimate, and vintage décor."
Haymaker Bar and Kitchen,"Cool, laid-back spot with a long bar for elevated pub fare & a rotating array of craft draft beers."
OCabanon,"Relaxed eatery with quirky, rustic-chic decor serving creative French dishes, charcuterie & wine."
Walter's Bar,"Small, low-key neighborhood joint with draft beer & bar snacks, plus darts, a pool table & jukebox."
Taboo Lounge,"Casual, dimly lit bar & hookah lounge offering special cocktails, bar bites & European fare."
Drawing Room,"Cozy, intimate bar with jazz music, sophisticated vibe, mature crowd."
The Triple Crown Ale House,Large Irish bar decorated with dark wood & racing memorabilia and serving standard pub food & brews.
Mustang Harry's,Sports bar near Madison Square Garden serving drinks & pub grub.
Unique Music Gift,"Chill, eclectic vibe; live jazz; diverse crowd; atmospheric urban bar."
Pioneers Bar NYC,"Laid-back, late-night hangout offering craft beers on tap, bar snacks, pinball machines & pool."
Friedman's Herald Square,"Contemporary spot specializing in seasonal, locally sourced & mostly gluten-free comfort classics."
Pennsylvania 6,"American restaurant with comfort fare, a raw bar & cocktails in a space with red-leather banquettes."
Alligator Pear,"Cozy ambiance, jazz tunes, upscale crowd, vintage decor, craft cocktails."
Tracks,"Lively LGBTQ+ bar; welcoming vibe, upbeat music, diverse young crowd."
Little Dipper,"Cozy, retro bar with indie music, friendly crowd, vintage decor, diverse demographic."
Goldie’s Tavern,"Retro decor, chill vibe, eclectic tunes, diverse crowd, relaxed, inviting atmosphere."
La Noxe,"Intimate, dimly lit haunt with velvet seats offering cocktails & tapas in a laid-back atmosphere."
Jack Demsey's,Tavern beaming international sporting events & offering a menu of American grub & Irish breakfast.
32 Karaoke,Flashy BYOB venue offering private karaoke rooms by the hour with strobe lights & disco balls.
The Spot Karaoke & Lounge NYC,"Swanky bar with karaoke rooms, cocktails & an Asian-inspired menu of snacks & entrees."
Space Billiard Pool Hall & Sports Bar | Koreatown NYC,Sleek billiards bar with bites & a large selection of beer & cocktails made with Korean vodka.
Gagopa Karaoke,"Simple, late-night karaoke den with a sizable song list & private rooms plus booze & BYO options."
Hoops Cabaret,"upscale, energetic atmosphere, lively music, sports enthusiasts, diverse crowd."
bar/code NYC,"Chic ambiance, relaxed vibe, electronic music, diverse crowd, intimate setting."
Itaewon Pocha,"Trendy Koreatown bar & eatery offering inventive Korean fusion eats, soju cocktails & DJ nights."
Icon Aesthetics,"Chic, eclectic bar; stylish atmosphere; diverse clientele; electronic music; vibrant vibe."
5 Bar Karaoke,"'5 Bar Karaoke' offers lively karaoke, diverse patrons, energetic atmosphere, pop hits."
Plan B,"Trendy bar with eclectic vibe, diverse crowd, and energetic DJ music."
Turntable LP Bar & Karaoke,"Korean fried chicken, global plates & cocktails fuel patrons enjoying LP tunes & karaoke singers."
